,fluxes
EX_acgam_e,0.0
EX_cellb_e,0.0
EX_chol_e,0.0
EX_pi_e,0.0
EX_h_e,8.05820123741377
EX_ade_e,0.0
EX_4abut_e,0.0
EX_ac_e,0.0
EX_akg_e,0.0
EX_ala__L_e,0.0
EX_arg__L_e,0.0
EX_asp__L_e,0.0
EX_cytd_e,0.0
EX_dcyt_e,0.0
EX_fum_e,0.0
EX_glu__L_e,0.0
EX_gua_e,0.0
EX_met__L_e,0.0
EX_metsox_S__L_e,0.0
EX_crn_e,-0.0
EX_fe3_e,0.0
EX_glcn_e,0.0
EX_gln__L_e,0.0
EX_glyc_e,0.0
EX_man_e,0.0
EX_mn2_e,0.0
EX_rib__D_e,0.0
EX_sbt__D_e,0.0
EX_ura_e,0.0
EX_val__L_e,0.0
EX_xan_e,0.0
CDPPH,0.0
NDP7,0.0
EX_co2_e,24.00328921073676
EX_hxan_e,0.0
EX_ile__L_e,0.0
EX_lac__L_e,0.0
EX_leu__L_e,0.0
EX_no3_e,0.0
EX_orn_e,0.0
EX_pro__L_e,0.0
EX_pyr_e,0.0
EX_succ_e,0.0
EX_thymd_e,0.0
EX_tyr__L_e,0.0
EX_btn_e,0.0
EX_ptrc_e,0.0
EX_spmd_e,-0.0
EX_thym_e,0.0
EX_xtsn_e,0.0
EX_fe2_e,0.0
EX_glc__D_e,0.0
EX_alltn_e,0.0
EX_dgsn_e,0.0
EX_arab__L_e,0.0
EX_fru_e,0.0
EX_gal_e,0.0
EX_xyl__D_e,0.0
EX_duri_e,0.0
EX_for_e,0.0
EX_gly_e,0.0
EX_h2_e,0.0
EX_lys__L_e,0.0
EX_ser__L_e,0.0
EX_thm_e,0.0
EX_trp__L_e,0.0
EX_din_e,0.0
EX_fmn_e,-0.0
EX_gthox_e,-0.0
EX_acald_e,0.0
EX_melib_e,0.0
EX_sucr_e,-0.0
EX_tre_e,0.0
EX_zn2_e,0.0
DNMPPA,0.0005867112026620016
HEX4,0.0
CMPN,0.0
ALDD4,0.0
URIC,0.0
EX_tmao_e,-0.0
EX_26dap__M_e,0.0
EX_acnam_e,0.0
EX_amp_e,0.0
EX_dha_e,0.0
EX_fuc__L_e,0.0
EX_glyald_e,0.0
EX_rmn_e,0.0
EX_ttdca_e,0.0
EX_glyclt_e,0.0
EX_g6p_e,0.0
EX_2ddglcn_e,0.0
EX_galct__D_e,0.0
EX_idon__L_e,0.0
EX_indole_e,0.0
EX_3hcinnm_e,0.0
EX_acmana_e,0.0
EX_galur_e,0.0
EX_but_e,0.0
EX_cbl1_e,0.0
EX_gbbtn_e,-0.0
EX_tma_e,-0.0
EX_malttr_e,0.0
EX_hdcea_e,0.0
AOBUTDs,0.0
NADN,0.0
EX_nmn_e,0.0
EX_urea_e,0.0
EX_f6p_e,0.0
EX_lac__D_e,0.0
